customer_id,last_purchase_date,total_orders,total_spend,avg_delivery_delay_days,support_tickets,churn_status
C0001,2026-02-26,4,9246.51,2.5,2,Active
C0002,2026-01-03,8,19854.24,4.875,3,Active
C0003,2025-07-04,3,8350.53,3.6666666666666665,0,Churned
C0004,2026-01-30,4,7644.29,5.0,0,Active
C0005,2026-06-03,5,13430.16,5.0,4,Active
C0006,2026-01-01,2,4485.93,6.5,4,Active
C0007,2025-06-27,1,4646.56,4.0,1,Churned
C0008,2025-05-24,1,1472.97,8.0,0,Churned
C0009,2025-02-23,1,474.39,8.0,1,Churned
C0010,2026-07-10,2,5493.51,5.0,4,Active
C0011,2025-08-07,6,19931.25,2.8333333333333335,0,Churned
C0012,2025-03-15,8,24506.87,3.375,3,Churned
C0013,2026-06-13,2,3281.9700000000003,6.5,4,Active
C0014,2025-09-25,6,14251.99,4.0,2,Churned
C0015,2026-01-26,7,18118.48,4.571428571428571,4,Active
C0016,2025-07-22,7,18353.38,5.285714285714286,3,Churned
C0017,2025-05-28,2,6293.41,3.0,1,Churned
C0018,2026-04-18,5,13969.59,4.4,0,Active
C0019,2025-11-16,5,13439.28,5.8,4,Active
C0020,2025-08-15,6,16465.22,4.5,2,Churned
C0021,2025-05-20,2,3328.9500000000003,4.0,1,Churned
C0022,2024-11-28,1,4748.43,4.0,0,Churned
C0023,2025-08-07,7,15649.85,5.428571428571429,0,Churned
C0024,2026-02-06,7,24744.34,5.428571428571429,0,Active
C0025,2026-07-30,3,9955.48,5.0,1,Active
C0026,2025-10-02,8,25018.89,5.0,4,Active
C0027,2025-04-10,6,14742.44,6.0,0,Churned
C0028,2026-10-06,1,4197.63,5.0,3,Active
C0029,2025-02-22,2,6249.09,7.0,3,Churned
C0030,2026-03-18,5,6545.9,5.2,4,Active
C0031,2024-09-21,2,8908.83,2.5,0,Churned
C0032,2024-10-26,6,19870.47,4.166666666666667,1,Churned
C0033,2025-10-13,2,3749.42,3.5,3,Active
C0034,2025-06-18,2,4425.25,7.0,3,Churned
C0035,2025-12-02,4,10229.85,6.0,3,Active
C0036,2025-09-30,1,3081.97,6.0,3,Churned
C0037,2026-05-30,6,14247.24,5.333333333333333,1,Active
C0038,2025-08-03,7,23534.1,4.571428571428571,3,Churned
C0039,2026-01-16,2,7618.0,5.0,4,Active
C0040,2025-01-11,3,3864.22,4.0,2,Churned
C0041,2025-07-03,2,4652.08,1.0,3,Churned
C0042,2026-02-18,8,23289.18,3.75,1,Active
C0043,2025-07-05,8,30674.9,4.625,4,Churned
C0044,2025-12-24,1,4603.5,8.0,0,Active
C0045,2026-09-29,7,21224.34,3.7142857142857144,1,Active
C0046,2026-05-21,8,18379.94,3.75,1,Active
C0047,2025-12-09,3,5154.57,3.6666666666666665,3,Active
C0048,2025-11-03,3,7245.04,6.0,2,Active
C0049,2025-10-14,3,6258.93,5.333333333333333,4,Active
C0050,2025-08-19,6,21119.120000000003,3.0,4,Churned
C0051,2026-01-27,8,21818.52,4.75,2,Active
C0052,2026-01-12,6,12633.43,4.0,2,Active
C0053,2026-01-05,5,9705.55,6.4,0,Active
C0054,2026-04-14,8,19413.170000000002,4.625,1,Active
C0055,2025-10-06,1,2205.85,3.0,1,Active
C0056,2026-04-03,2,5648.21,7.0,3,Active
C0057,2025-05-11,7,23893.72,4.285714285714286,4,Churned
C0058,2026-03-31,4,8242.44,6.0,0,Active
C0059,2025-07-25,1,2162.56,3.0,1,Churned
C0060,2026-05-25,6,16649.83,3.5,4,Active
C0061,2026-06-11,5,17781.35,6.4,2,Active
C0062,2025-06-15,6,13118.400000000001,5.5,0,Churned
C0063,2024-09-29,3,6519.28,7.666666666666667,1,Churned
C0064,2026-08-05,7,18739.27,4.714285714285714,3,Active
C0065,2025-06-02,3,4875.02,7.0,2,Churned
C0066,2026-07-07,7,10817.06,3.857142857142857,1,Active
C0067,2025-04-09,6,6340.68,4.166666666666667,2,Churned
C0068,2025-07-25,8,26871.71,5.5,1,Churned
C0069,2026-06-09,1,701.84,7.0,0,Active
C0070,2025-07-15,8,23613.17,4.125,1,Churned
C0071,2025-12-16,2,4624.89,5.0,1,Active
C0072,2025-09-10,1,4768.84,8.0,2,Churned
C0073,2025-05-20,3,7841.85,6.0,2,Churned
C0074,2025-11-09,1,1461.51,2.0,1,Active
C0075,2026-01-17,3,13825.45,4.333333333333333,3,Active
C0076,2025-09-21,7,15942.170000000002,4.857142857142857,2,Churned
C0077,2026-06-06,2,6735.969999999999,2.5,3,Active
C0078,2025-02-23,1,4122.12,7.0,3,Churned
C0079,2026-01-10,6,16235.24,4.5,0,Active
C0080,2026-03-05,2,6419.860000000001,2.0,4,Active
C0081,2025-06-05,5,11582.43,4.4,2,Churned
C0082,2024-09-26,2,4389.56,6.5,0,Churned
C0083,2024-05-06,1,4321.71,1.0,1,Churned
C0084,2025-07-28,7,18657.47,4.857142857142857,0,Churned
C0085,2025-11-09,5,7229.31,4.4,2,Active
C0086,2025-10-07,2,1594.37,4.5,3,Active
C0087,2024-09-24,4,8960.16,5.5,4,Churned
C0088,2026-02-08,6,19606.29,5.333333333333333,3,Active
C0089,2025-12-24,1,2963.32,7.0,4,Active
C0090,2025-10-26,1,4748.28,3.0,0,Active
C0091,2025-03-14,4,12279.83,4.0,3,Churned
C0092,2025-04-22,3,4536.35,4.333333333333333,0,Churned
C0093,2025-08-20,1,1206.48,2.0,1,Churned
C0094,2025-06-13,7,20860.25,2.857142857142857,3,Churned
C0095,2025-05-02,8,12092.369999999999,5.0,2,Churned
C0096,2025-10-03,3,5347.58,1.6666666666666667,1,Active
C0097,2026-08-30,7,20567.71,6.142857142857143,2,Active
C0098,2025-10-09,4,11941.16,6.25,4,Active
C0099,2025-04-04,4,12747.84,5.25,2,Churned
C0100,2026-02-20,2,1426.08,4.5,4,Active
C0101,2026-02-16,5,11524.119999999999,5.8,4,Active
C0102,2025-12-11,5,9401.869999999999,3.4,0,Active
C0103,2026-01-12,4,11678.43,4.5,4,Active
C0104,2026-02-01,3,6090.02,2.3333333333333335,2,Active
C0105,2025-11-21,3,13024.95,5.333333333333333,1,Active
C0106,2025-10-11,4,9718.39,2.75,4,Active
C0107,2025-05-14,6,16682.66,4.0,4,Churned
C0108,2026-01-29,4,9964.7,5.5,1,Active
C0109,2025-06-28,1,2136.51,1.0,4,Churned
C0110,2026-06-09,4,14745.18,6.25,4,Active
C0111,2026-03-18,8,27243.87,4.75,1,Active
C0112,2026-07-02,7,12482.57,4.0,0,Active
C0113,2025-12-20,3,7923.33,4.666666666666667,0,Active
C0114,2024-10-29,1,3410.9,8.0,2,Churned
C0115,2025-11-20,5,8373.92,4.0,0,Active
C0116,2026-02-19,8,18631.35,4.5,2,Active
C0117,2025-11-23,2,2240.03,5.0,4,Active
C0118,2025-09-17,6,19821.940000000002,4.333333333333333,3,Churned
C0119,2026-09-13,8,26161.63,2.625,3,Active
C0120,2025-09-03,3,5766.04,4.333333333333333,3,Churned
C0121,2025-08-10,3,9881.55,6.0,3,Churned
C0122,2026-05-14,7,15821.65,3.142857142857143,2,Active
C0123,2025-09-21,7,21449.28,4.714285714285714,4,Churned
C0124,2026-01-17,1,2675.91,4.0,0,Active
C0125,2025-06-16,5,14001.650000000001,4.6,1,Churned
C0126,2026-10-20,8,16108.03,3.625,3,Active
C0127,2025-05-12,3,7310.1900000000005,4.666666666666667,0,Churned
C0128,2025-11-28,5,8634.14,5.0,3,Active
C0129,2025-11-22,5,16472.760000000002,4.4,2,Active
C0130,2026-08-29,6,17033.29,5.333333333333333,3,Active
C0131,2026-02-02,8,24022.39,3.625,3,Active
C0132,2026-04-16,2,1957.19,1.5,2,Active
C0133,2026-09-17,8,21422.02,4.5,1,Active
C0134,2025-05-16,5,11884.1,4.4,4,Churned
C0135,2026-04-01,6,15050.83,5.166666666666667,1,Active
C0136,2025-08-12,8,27157.47,5.0,1,Churned
C0137,2025-11-11,5,11644.37,5.2,3,Active
C0138,2026-05-13,8,24838.68,4.125,0,Active
C0139,2025-09-28,2,5881.79,5.0,4,Churned
C0140,2025-06-22,3,7695.619999999999,3.3333333333333335,2,Churned
C0141,2025-12-15,5,6130.91,4.6,2,Active
C0142,2024-10-09,3,6908.91,6.666666666666667,4,Churned
C0143,2025-11-04,6,20609.78,3.6666666666666665,0,Active
C0144,2025-09-10,6,14549.09,3.8333333333333335,1,Churned
C0145,2026-01-06,5,12075.34,2.4,4,Active
C0146,2025-12-13,3,7107.19,1.3333333333333333,2,Active
C0147,2025-05-27,1,1341.82,8.0,4,Churned
C0148,2025-09-05,4,10191.45,3.0,2,Churned
C0149,2025-12-14,2,4722.76,4.5,4,Active
C0150,2026-04-24,8,16180.080000000002,5.25,2,Active
C0151,2025-08-06,3,9878.33,5.0,1,Churned
C0152,2025-09-09,4,15316.74,4.0,2,Churned
C0153,2025-04-26,5,9054.61,4.0,2,Churned
C0154,2025-12-01,6,13872.0,5.166666666666667,3,Active
C0155,2025-07-31,8,22822.65,5.125,3,Churned
C0156,2025-03-10,1,3576.1,6.0,3,Churned
C0157,2025-11-18,7,13501.59,5.0,3,Active
C0158,2026-02-13,5,11184.09,3.6,0,Active
C0159,2024-09-01,1,3098.34,3.0,1,Churned
C0160,2026-05-01,2,6743.41,3.0,4,Active
C0161,2026-03-15,3,6625.63,4.666666666666667,4,Active
C0162,2026-02-02,5,15390.33,3.8,3,Active
C0163,2026-02-18,3,7571.97,3.0,2,Active
C0164,2026-01-15,8,17385.64,5.0,2,Active
C0165,2026-05-08,4,8605.25,3.75,0,Active
C0166,2025-09-17,1,3566.22,3.0,0,Churned
C0167,2026-04-12,2,2504.39,3.5,4,Active
C0168,2025-07-04,3,7088.09,5.666666666666667,0,Churned
C0169,2026-03-21,8,16238.66,4.625,2,Active
C0170,2026-05-18,7,13168.2,5.714285714285714,4,Active
C0171,2025-12-25,1,4904.88,1.0,2,Active
C0172,2026-01-12,8,19554.95,2.875,3,Active
C0173,2026-07-11,4,11819.55,6.5,3,Active
C0174,2025-10-18,3,3702.91,5.0,4,Active
C0175,2026-05-05,8,19832.28,3.5,1,Active
C0176,2025-05-04,2,3438.15,4.0,1,Churned
C0177,2025-09-17,2,3003.37,7.5,1,Churned
C0178,2025-08-03,2,7391.01,7.5,4,Churned
C0179,2025-09-03,7,19917.99,5.428571428571429,2,Churned
C0180,2025-03-25,3,5393.6900000000005,4.333333333333333,4,Churned
C0181,2026-03-15,3,7089.62,4.666666666666667,1,Active
C0182,2025-01-27,6,14646.87,2.6666666666666665,3,Churned
C0183,2024-12-22,2,8661.990000000002,1.0,0,Churned
C0184,2026-04-25,6,13034.57,4.0,0,Active
C0185,2026-05-16,6,17578.61,3.8333333333333335,4,Active
C0186,2025-08-14,5,15201.69,4.8,2,Churned
C0187,2025-12-26,6,13383.16,3.8333333333333335,0,Active
C0188,2026-01-10,4,6892.04,5.75,1,Active
C0189,2026-03-18,6,16400.92,4.5,3,Active
C0190,2025-09-07,1,964.92,3.0,0,Churned
C0191,2025-02-19,1,1706.74,5.0,3,Churned
C0192,2025-12-13,5,17326.239999999998,3.6,3,Active
C0193,2024-09-13,1,1414.32,7.0,0,Churned
C0194,2026-08-16,5,17229.15,5.4,4,Active
C0195,2025-08-15,3,7676.499999999999,4.0,2,Churned
C0196,2025-07-03,8,24279.48,5.25,1,Churned
C0197,2025-08-04,4,12877.59,3.75,3,Churned
C0198,2026-01-07,5,8375.42,6.0,0,Active
C0199,2025-12-16,3,8426.88,4.666666666666667,4,Active
C0200,2025-01-20,3,7440.38,5.0,3,Churned
C0201,2025-11-27,3,9108.7,5.0,4,Active
C0202,2025-10-16,2,6686.83,4.5,0,Active
