customer_id,customer_name,age,gender,city,signup_date,segment
C0001,Customer 1,25,Female,Mumbai,2024-11-23,New
C0002,Customer 2,40,Male,Pune,2024-07-02,Regular
C0003,Customer 3,50,Male,Bangalore,2024-03-11,Regular
C0004,Customer 4,24,Female,Pune,2024-09-16,Premium
C0005,Customer 5,52,Male,Pune,2025-04-20,Regular
C0006,Customer 6,45,Male,Pune,2024-06-30,Regular
C0007,Customer 7,22,Male,Bangalore,2025-03-23,Regular
C0008,Customer 8,43,Male,Hyderabad,2024-04-19,Premium
C0009,Customer 9,36,Male,Chennai,2024-04-07,Regular
C0010,Customer 10,50,Male,Bangalore,2025-05-06,New
C0011,Customer 11,43,Female,Hyderabad,2024-05-15,New
C0012,Customer 12,39,Female,Mumbai,2024-01-02,Regular
C0013,Customer 13,34,Female,Bangalore,2025-03-25,New
C0014,Customer 14,22,Female,Chennai,2024-08-08,Premium
C0015,Customer 15,58,Female,Hyderabad,2024-07-31,Regular
C0016,Customer 16,52,Male,Mumbai,2024-06-18,Regular
C0017,Customer 17,52,Female,Mumbai,2025-01-18,New
C0018,Customer 18,41,Male,Mumbai,2025-01-27,New
C0019,Customer 19,55,Male,Bangalore,2024-08-11,Regular
C0020,Customer 20,60,Female,Chennai,2024-06-05,Regular
C0021,Customer 21,21,Female,Bangalore,2024-04-04,Regular
C0022,Customer 22,46,Female,Delhi,2024-08-18,Regular
C0023,Customer 23,29,Male,Bangalore,2024-05-02,Regular
C0024,Customer 24,51,Female,Mumbai,2024-08-28,Regular
C0025,Customer 25,25,Male,Pune,2025-03-06,Regular
C0026,Customer 26,37,Female,Mumbai,2024-05-24,Premium
C0027,Customer 27,38,Female,Delhi,2024-01-24,Regular
C0028,Customer 28,60,Male,Chennai,2025-05-15,Regular
C0029,Customer 29,30,Male,Pune,2024-11-21,Regular
C0030,Customer 30,52,Female,Chennai,2025-02-06,Premium
C0031,Customer 31,20,Female,Bangalore,2024-01-24,Regular
C0032,Customer 32,41,Female,Mumbai,2024-01-17,Regular
C0033,Customer 33,21,Female,Chennai,2024-05-15,New
C0034,Customer 34,48,Female,Pune,2024-02-01,Premium
C0035,Customer 35,56,Male,Pune,2024-09-15,Regular
C0036,Customer 36,25,Female,Pune,2024-12-09,Regular
C0037,Customer 37,48,Male,Delhi,2024-12-02,Regular
C0038,Customer 38,31,Male,Delhi,2024-05-19,Regular
C0039,Customer 39,24,Female,Chennai,2024-08-11,Regular
C0040,Customer 40,27,Male,Chennai,2024-02-22,Regular
C0041,Customer 41,41,Male,Pune,2024-01-30,Premium
C0042,Customer 42,59,Male,Pune,2024-09-15,New
C0043,Customer 43,28,Male,Pune,2024-03-19,New
C0044,Customer 44,59,Male,Mumbai,2025-03-05,Regular
C0045,Customer 45,23,Male,Mumbai,2025-04-08,New
C0046,Customer 46,59,Female,Pune,2025-02-20,New
C0047,Customer 47,21,Female,Delhi,2024-11-23,New
C0048,Customer 48,59,Male,Bangalore,2024-06-09,Regular
C0049,Customer 49,52,Female,Mumbai,2024-10-08,Regular
C0050,Customer 50,38,Female,Hyderabad,2024-03-05,Regular
C0051,Customer 51,37,Female,Delhi,2024-11-24,Regular
C0052,Customer 52,26,Female,Hyderabad,2024-08-08,Premium
C0053,Customer 53,19,Male,Hyderabad,2024-08-31,Regular
C0054,Customer 54,59,Female,Chennai,2024-12-12,Premium
C0055,Customer 55,23,Male,Chennai,2025-04-09,Regular
C0056,Customer 56,36,Male,Delhi,2025-04-24,Premium
C0057,Customer 57,39,Male,Mumbai,2024-01-08,Regular
C0058,Customer 58,41,Male,Bangalore,2024-09-27,New
C0059,Customer 59,21,Male,Hyderabad,2024-10-04,Premium
C0060,Customer 60,42,Male,Pune,2025-03-21,Regular
C0061,Customer 61,54,Female,Mumbai,2025-02-21,Regular
C0062,Customer 62,34,Male,Hyderabad,2024-05-04,Regular
C0063,Customer 63,34,Female,Delhi,2024-01-09,Regular
C0064,Customer 64,22,Male,Bangalore,2025-03-05,Premium
C0065,Customer 65,48,Male,Pune,2024-10-09,New
C0066,Customer 66,22,Male,Chennai,2025-04-20,Regular
C0067,Customer 67,23,Male,Chennai,2024-01-14,Regular
C0068,Customer 68,29,Female,Delhi,2024-06-09,Premium
C0069,Customer 69,55,Male,Delhi,2025-01-30,Regular
C0070,Customer 70,39,Male,Chennai,2024-06-08,Regular
C0071,Customer 71,57,Male,Delhi,2025-04-15,Regular
C0072,Customer 72,36,Female,Hyderabad,2024-09-07,New
C0073,Customer 73,49,Female,Hyderabad,2024-07-28,Regular
C0074,Customer 74,24,Male,Delhi,2024-08-05,Regular
C0075,Customer 75,55,Female,Mumbai,2025-02-19,Regular
C0076,Customer 76,27,Male,Pune,2024-05-07,Regular
C0077,Customer 77,35,Female,Delhi,2025-03-23,New
C0078,Customer 78,55,Female,Bangalore,2024-03-08,Regular
C0079,Customer 79,23,Male,Bangalore,2024-07-15,Regular
C0080,Customer 80,42,Female,Pune,2024-09-10,New
C0081,Customer 81,34,Male,Hyderabad,2024-01-08,Regular
C0082,Customer 82,26,Female,Pune,2024-07-09,Regular
C0083,Customer 83,34,Male,Mumbai,2024-03-21,Regular
C0084,Customer 84,27,Male,Chennai,2024-07-15,New
C0085,Customer 85,49,Male,Pune,2024-08-02,Premium
C0086,Customer 86,31,Female,Delhi,2025-05-08,Regular
C0087,Customer 87,29,Female,Hyderabad,2024-05-13,New
C0088,Customer 88,19,Female,Mumbai,2024-09-11,Regular
C0089,Customer 89,28,Male,Delhi,2025-05-13,New
C0090,Customer 90,38,Female,Chennai,2024-10-30,Premium
C0091,Customer 91,49,Male,Mumbai,2024-03-30,New
C0092,Customer 92,53,Female,Mumbai,2024-03-30,Regular
C0093,Customer 93,23,Female,Hyderabad,2024-11-21,Premium
C0094,Customer 94,42,Female,Mumbai,2024-01-25,Regular
C0095,Customer 95,41,Male,Delhi,2024-01-28,New
C0096,Customer 96,23,Female,Mumbai,2024-08-04,Premium
C0097,Customer 97,52,Female,Delhi,2025-03-20,Premium
C0098,Customer 98,51,Male,Mumbai,2025-02-03,Premium
C0099,Customer 99,28,Male,Mumbai,2024-01-26,Premium
C0100,Customer 100,59,Female,Delhi,2024-10-14,Regular
C0101,Customer 101,26,Female,Delhi,2024-12-14,Regular
C0102,Customer 102,30,Female,Chennai,2024-08-29,Regular
C0103,Customer 103,41,Female,Chennai,2025-01-09,Premium
C0104,Customer 104,26,Male,Chennai,2025-01-07,Regular
C0105,Customer 105,44,Female,Chennai,2024-06-03,Regular
C0106,Customer 106,49,Female,Delhi,2024-10-07,Premium
C0107,Customer 107,26,Male,Delhi,2024-01-05,Regular
C0108,Customer 108,51,Male,Hyderabad,2024-09-22,Regular
C0109,Customer 109,49,Male,Hyderabad,2025-03-14,Regular
C0110,Customer 110,56,Female,Chennai,2025-02-09,Premium
C0111,Customer 111,30,Female,Mumbai,2024-11-08,New
C0112,Customer 112,45,Male,Bangalore,2025-03-25,Premium
C0113,Customer 113,47,Male,Bangalore,2024-06-18,Regular
C0114,Customer 114,36,Female,Chennai,2024-07-03,Regular
C0115,Customer 115,38,Male,Hyderabad,2024-12-15,Regular
C0116,Customer 116,32,Female,Hyderabad,2024-10-21,Premium
C0117,Customer 117,53,Male,Delhi,2025-03-11,Regular
C0118,Customer 118,57,Male,Chennai,2024-06-17,Regular
C0119,Customer 119,55,Female,Mumbai,2025-04-01,Regular
C0120,Customer 120,22,Female,Mumbai,2024-04-27,Regular
C0121,Customer 121,50,Male,Bangalore,2024-11-18,New
C0122,Customer 122,39,Male,Mumbai,2025-01-05,Premium
C0123,Customer 123,59,Female,Chennai,2024-08-06,Regular
C0124,Customer 124,18,Female,Mumbai,2024-08-12,Regular
C0125,Customer 125,59,Male,Bangalore,2024-05-02,New
C0126,Customer 126,42,Male,Delhi,2025-05-09,Regular
C0127,Customer 127,50,Male,Chennai,2024-04-03,Regular
C0128,Customer 128,57,Male,Chennai,2024-07-04,Premium
C0129,Customer 129,24,Male,Mumbai,2024-07-22,Regular
C0130,Customer 130,22,Female,Mumbai,2025-03-10,New
C0131,Customer 131,28,Female,Delhi,2024-09-26,New
C0132,Customer 132,52,Female,Mumbai,2024-11-28,Premium
C0133,Customer 133,24,Male,Pune,2025-05-12,Regular
C0134,Customer 134,58,Male,Mumbai,2024-04-30,Regular
C0135,Customer 135,49,Male,Chennai,2024-10-04,New
C0136,Customer 136,20,Female,Pune,2024-02-20,Regular
C0137,Customer 137,33,Male,Hyderabad,2024-11-07,Regular
C0138,Customer 138,22,Female,Mumbai,2025-01-10,Regular
C0139,Customer 139,59,Male,Mumbai,2024-07-21,Regular
C0140,Customer 140,40,Female,Chennai,2024-03-27,Regular
C0141,Customer 141,31,Male,Mumbai,2024-06-18,Regular
C0142,Customer 142,51,Female,Hyderabad,2024-05-06,Regular
C0143,Customer 143,33,Female,Delhi,2024-08-01,Regular
C0144,Customer 144,50,Female,Pune,2024-03-09,Premium
C0145,Customer 145,42,Male,Mumbai,2024-10-12,Regular
C0146,Customer 146,41,Female,Pune,2024-11-20,New
C0147,Customer 147,47,Female,Chennai,2024-01-07,Regular
C0148,Customer 148,56,Female,Chennai,2024-11-03,New
C0149,Customer 149,53,Female,Mumbai,2025-03-07,New
C0150,Customer 150,38,Female,Mumbai,2024-11-07,Regular
C0151,Customer 151,39,Female,Bangalore,2024-10-22,Regular
C0152,Customer 152,37,Female,Bangalore,2024-09-25,New
C0153,Customer 153,60,Male,Chennai,2024-09-23,Regular
C0154,Customer 154,43,Female,Chennai,2024-08-06,New
C0155,Customer 155,53,Female,Chennai,2024-06-15,Regular
C0156,Customer 156,26,Male,Delhi,2025-03-09,Premium
C0157,Customer 157,55,Female,Pune,2024-08-09,Regular
C0158,Customer 158,48,Male,Mumbai,2024-10-24,Premium
C0159,Customer 159,26,Female,Delhi,2024-05-09,Regular
C0160,Customer 160,33,Male,Delhi,2025-02-04,Regular
C0161,Customer 161,34,Male,Bangalore,2024-11-24,Regular
C0162,Customer 162,45,Female,Delhi,2025-05-04,Regular
C0163,Customer 163,56,Male,Bangalore,2025-03-14,New
C0164,Customer 164,30,Male,Pune,2024-09-08,Regular
C0165,Customer 165,40,Female,Pune,2024-11-18,Regular
C0166,Customer 166,27,Male,Hyderabad,2025-01-11,Regular
C0167,Customer 167,24,Male,Chennai,2025-02-24,Regular
C0168,Customer 168,22,Male,Hyderabad,2024-06-20,New
C0169,Customer 169,26,Female,Chennai,2024-12-20,Regular
C0170,Customer 170,25,Male,Mumbai,2025-02-02,Regular
C0171,Customer 171,32,Male,Chennai,2024-10-23,Premium
C0172,Customer 172,43,Male,Hyderabad,2024-09-28,Regular
C0173,Customer 173,55,Male,Pune,2025-01-12,Premium
C0174,Customer 174,22,Female,Bangalore,2024-05-27,New
C0175,Customer 175,59,Female,Chennai,2024-12-01,Regular
C0176,Customer 176,25,Male,Mumbai,2024-06-22,Regular
C0177,Customer 177,19,Female,Pune,2024-04-10,New
C0178,Customer 178,40,Female,Chennai,2024-05-25,Regular
