order_id,customer_id,order_date,product_category,order_value,discount,shipping_days,payment_method,returned
O00001,C0001,2025-04-15,Beauty,3735.06,15,2,UPI,Yes
O00002,C0001,2025-02-27,Beauty,1249.46,5,1,Wallet,Yes
O00003,C0001,2026-02-26,Fashion,3028.48,15,1,COD,No
O00004,C0001,2025-05-02,Electronics,1233.51,0,6,Wallet,Yes
O00005,C0002,2026-01-03,Electronics,799.17,20,7,COD,No
O00006,C0002,2025-01-15,Fashion,3581.94,10,1,UPI,Yes
O00007,C0002,2024-10-14,Home,2024.61,5,8,COD,No
O00008,C0002,2025-02-02,Beauty,3416.84,5,2,Card,Yes
O00009,C0002,2025-10-19,Home,2021.39,0,4,Card,Yes
O00010,C0002,2025-05-22,Fashion,2125.59,20,2,COD,Yes
O00011,C0002,2025-11-26,Fashion,2099.03,10,8,Card,Yes
O00012,C0002,2025-03-29,Beauty,3785.67,15,7,COD,Yes
O00013,C0003,2024-08-22,Beauty,4001.98,0,7,Wallet,No
O00014,C0003,2025-07-04,Electronics,2739.75,20,1,COD,No
O00015,C0003,2024-07-04,Books,1608.8,0,3,COD,Yes
O00016,C0004,2025-02-20,Beauty,1994.79,20,3,UPI,No
O00017,C0004,2026-01-30,Home,293.49,5,6,UPI,Yes
O00018,C0004,2024-12-06,Electronics,611.14,20,8,Card,Yes
O00019,C0004,2026-01-16,Home,4744.87,20,3,Wallet,Yes
O00020,C0005,2026-06-03,Books,4976.72,20,6,Wallet,Yes
O00021,C0005,2025-12-30,Electronics,1278.55,20,6,Card,Yes
O00022,C0005,2025-04-28,Fashion,540.77,0,1,UPI,No
O00023,C0005,2025-07-02,Books,2667.95,5,5,Card,No
O00024,C0005,2025-12-25,Fashion,3966.17,0,7,UPI,No
O00025,C0006,2024-09-01,Electronics,2132.58,5,6,Card,Yes
O00026,C0006,2026-01-01,Fashion,2353.35,10,7,Wallet,Yes
O00027,C0007,2025-06-27,Fashion,4646.56,15,4,Wallet,No
O00028,C0008,2025-05-24,Home,1472.97,15,8,Wallet,Yes
O00029,C0009,2025-02-23,Beauty,474.39,20,8,Card,Yes
O00030,C0010,2026-01-02,Beauty,2138.12,20,4,UPI,Yes
O00031,C0010,2026-07-10,Home,3355.39,5,6,COD,Yes
O00032,C0011,2024-07-29,Electronics,244.71,20,2,Card,No
O00033,C0011,2024-09-28,Fashion,4679.65,10,2,COD,Yes
O00034,C0011,2025-08-07,Beauty,4201.98,20,5,UPI,No
O00035,C0011,2024-08-30,Home,4706.86,0,3,UPI,Yes
O00036,C0011,2025-02-18,Home,1552.43,5,4,COD,No
O00037,C0011,2025-01-28,Electronics,4545.62,15,1,COD,Yes
O00038,C0012,2025-03-15,Electronics,2892.35,5,2,UPI,No
O00039,C0012,2024-06-02,Home,2262.98,10,1,UPI,No
O00040,C0012,2024-08-05,Home,3473.92,20,2,Wallet,Yes
O00041,C0012,2024-09-01,Books,4350.11,0,3,Card,No
O00042,C0012,2025-02-27,Home,4050.73,5,4,UPI,No
O00043,C0012,2024-02-11,Fashion,4321.25,15,4,COD,No
O00044,C0012,2024-08-23,Books,1270.03,10,4,COD,Yes
O00045,C0012,2024-10-14,Beauty,1885.5,10,7,UPI,Yes
O00046,C0013,2026-06-13,Books,1859.3,20,6,UPI,No
O00047,C0013,2025-10-06,Electronics,1422.67,20,7,Card,No
O00048,C0014,2024-12-14,Beauty,3654.82,10,5,Wallet,No
O00049,C0014,2025-09-25,Fashion,3546.6,15,3,Wallet,Yes
O00050,C0014,2025-06-13,Home,2149.16,10,1,Card,No
O00051,C0014,2025-07-04,Fashion,2431.94,20,8,Wallet,Yes
O00052,C0014,2024-11-03,Electronics,1562.17,5,6,COD,Yes
O00053,C0014,2025-02-28,Fashion,907.3,15,1,UPI,No
O00054,C0015,2025-04-07,Electronics,908.34,15,1,Card,Yes
O00055,C0015,2026-01-13,Electronics,2429.84,15,4,Card,No
O00056,C0015,2026-01-26,Books,4941.88,20,6,Wallet,No
O00057,C0015,2025-01-10,Books,3769.55,10,8,Card,No
O00058,C0015,2026-01-16,Home,2526.07,15,4,UPI,No
O00059,C0015,2025-03-29,Beauty,1504.23,0,6,Card,Yes
O00060,C0015,2025-03-25,Fashion,2038.57,0,3,Wallet,No
O00061,C0016,2025-07-22,Beauty,4543.22,15,1,Wallet,Yes
O00062,C0016,2025-06-14,Books,1633.34,20,7,Card,No
O00063,C0016,2025-01-29,Electronics,1510.09,15,8,COD,No
O00064,C0016,2024-12-05,Beauty,4234.43,20,3,UPI,No
O00065,C0016,2024-07-16,Fashion,602.95,15,7,Card,Yes
O00066,C0016,2025-03-12,Books,2019.7,10,4,COD,No
O00067,C0016,2025-03-30,Home,3809.65,0,7,Wallet,Yes
O00068,C0017,2025-03-01,Fashion,3820.32,0,4,Card,Yes
O00069,C0017,2025-05-28,Beauty,2473.09,5,2,Wallet,No
O00070,C0018,2025-05-18,Beauty,2977.69,15,5,Wallet,Yes
O00071,C0018,2025-04-15,Electronics,3042.07,10,4,UPI,Yes
O00072,C0018,2026-01-18,Electronics,2757.18,20,6,COD,Yes
O00073,C0018,2026-04-03,Books,4147.19,10,2,Wallet,Yes
O00074,C0018,2026-04-18,Beauty,1045.46,20,5,Wallet,No
O00075,C0019,2025-11-16,Beauty,1370.54,20,8,Wallet,No
O00076,C0019,2024-09-10,Fashion,2572.67,15,6,Card,No
O00077,C0019,2025-05-03,Beauty,1833.63,0,5,Card,Yes
O00078,C0019,2025-04-16,Beauty,3656.36,5,8,Wallet,No
O00079,C0019,2025-11-13,Home,4006.08,5,2,Wallet,Yes
O00080,C0020,2025-08-15,Home,4983.83,15,6,COD,No
O00081,C0020,2025-02-18,Home,1306.58,0,4,Card,Yes
O00082,C0020,2025-01-13,Beauty,3745.3,20,5,COD,Yes
O00083,C0020,2024-12-21,Fashion,1621.98,10,6,UPI,Yes
O00084,C0020,2025-03-13,Beauty,418.48,10,1,Card,No
O00085,C0020,2024-09-19,Books,4389.05,15,5,Wallet,No
